weight,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence
0.42,4.97,3.67,2.39,0,1,0,0,0,0,0,0,3.0,3.0,0.0,1.0,2.0,0.0
0.53,6.89,4.45,2.68,0,0,0,0,1,0,0,0,6.0,6.0,0.0,0.0,1.0,0.0
0.3,4.72,3.17,2.12,0,1,0,0,0,0,0,0,3.0,1.0,0.0,0.0,2.0,0.0
0.5,6.33,4.44,2.72,0,0,0,0,1,0,0,0,4.0,5.0,0.0,0.0,1.0,3.0
0.3,3.73,3.7,2.49,0,0,0,0,0,0,1,0,4.0,4.0,0.0,1.0,1.0,0.0
0.95,6.33,5.16,3.51,1,0,0,0,0,0,0,0,4.0,6.0,0.0,0.0,1.0,0.0
0.8,5.51,5.01,3.39,1,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0,0.0,0.0
0.29,3.99,4.67,2.62,0,0,1,0,0,0,0,0,5.0,1.0,1.0,0.0,1.0,0.0
0.59,5.41,5.44,3.3,0,0,0,0,0,0,0,1,6.0,5.0,0.0,0.0,0.0,3.0
0.33,4.69,3.35,2.16,0,1,0,0,0,0,0,0,2.0,5.0,0.0,0.0,1.0,0.0
0.31,4.07,4.83,2.8,0,0,1,0,0,0,0,0,5.0,3.0,0.0,0.0,1.0,0.0
0.5,5.07,5.11,3.16,0,0,0,0,0,0,0,1,4.0,7.0,0.0,0.0,0.0,0.0
0.71,6.09,4.27,2.89,0,1,0,0,0,0,0,0,5.0,10.0,0.0,0.0,1.0,0.0
0.3,4.37,4.39,2.63,0,0,0,0,0,0,0,1,4.0,3.0,0.0,0.0,0.0,0.0
0.8,5.16,5.13,3.59,1,0,0,0,0,0,0,0,2.0,7.0,1.0,0.0,1.0,0.0
0.5,5.06,5.09,3.12,0,0,0,0,0,0,0,1,7.0,3.0,0.0,0.0,1.0,0.0
0.5,5.06,5.09,3.16,0,0,0,0,0,0,0,1,7.0,2.0,0.0,0.0,0.0,0.0
0.5,4.25,4.24,3.08,0,0,0,0,0,0,1,0,5.0,2.0,0.0,0.0,1.0,0.0
0.37,4.63,4.64,2.83,0,0,0,0,0,0,0,1,4.0,1.0,0.0,0.0,0.0,0.0
0.5,4.49,4.46,3.08,0,0,0,0,0,0,1,0,5.0,3.0,0.0,1.0,1.0,0.0
0.53,5.17,5.2,3.25,0,0,0,0,0,0,0,1,7.0,1.0,0.0,0.0,0.0,0.0
0.37,4.57,4.58,2.87,0,0,0,0,0,0,0,1,2.0,4.0,0.0,0.0,0.0,0.0
0.51,4.72,4.33,2.93,1,0,0,0,0,0,0,0,3.0,1.0,0.0,0.0,1.0,0.0
0.75,5.41,4.94,3.35,1,0,0,0,0,0,0,0,6.0,2.0,0.0,1.0,1.0,0.0
0.33,3.91,3.84,2.58,0,0,0,0,0,0,1,0,2.0,3.0,0.0,0.0,1.0,0.0
0.3,4.88,3.18,2.03,0,1,0,0,0,0,0,0,4.0,1.0,0.0,1.0,1.0,0.0
0.5,5.09,5.13,3.13,0,0,0,0,0,0,0,1,4.0,8.0,0.0,1.0,1.0,3.0
0.82,7.25,5.37,3.26,0,0,0,0,1,0,0,0,4.0,10.0,0.0,0.0,1.0,0.0
0.5,4.96,5.0,3.16,0,0,0,0,0,0,0,1,7.0,2.0,1.0,0.0,1.0,0.0
0.36,4.52,4.54,2.86,0,0,0,0,0,0,0,1,4.0,3.0,0.0,0.0,0.0,0.0
0.52,5.91,3.75,2.22,0,1,0,0,0,0,0,0,1.0,8.0,1.0,1.0,1.0,4.0
0.3,3.76,3.72,2.66,0,0,0,0,0,0,1,0,2.0,6.0,0.0,0.0,1.0,3.0
0.3,4.09,4.81,2.75,0,0,1,0,0,0,0,0,2.0,1.0,1.0,1.0,2.0,0.0
0.5,5.08,5.11,3.1,0,0,0,0,0,0,0,1,7.0,2.0,0.0,0.0,1.0,0.0
0.3,4.05,4.71,2.8,0,0,1,0,0,0,0,0,5.0,2.0,0.0,0.0,1.0,0.0
1.0,6.09,5.29,3.58,1,0,0,0,0,0,0,0,2.0,9.0,0.0,0.0,0.0,0.0
0.7,5.22,4.67,3.34,1,0,0,0,0,0,0,0,7.0,2.0,2.0,0.0,1.0,0.0
0.4,4.69,4.71,2.94,0,0,0,0,0,0,0,1,5.0,4.0,0.0,1.0,0.0,0.0
0.5,6.84,4.33,2.62,0,0,0,0,1,0,0,0,5.0,3.0,0.0,1.0,1.0,3.0
0.5,5.09,5.1,3.16,0,0,0,0,0,0,0,1,6.0,6.0,0.0,0.0,1.0,0.0
0.37,4.81,3.53,2.32,0,1,0,0,0,0,0,0,3.0,2.0,0.0,0.0,1.0,0.0
2.0,10.63,7.0,4.37,0,0,0,0,0,1,0,0,7.0,5.0,0.0,1.0,1.0,0.0
0.32,4.6,3.26,2.19,0,1,0,0,0,0,0,0,2.0,2.0,0.0,0.0,1.0,0.0
0.52,5.11,5.14,3.21,0,0,0,0,0,0,0,1,6.0,3.0,0.0,0.0,0.0,5.0
0.51,4.24,4.19,3.13,0,0,0,0,0,0,1,0,4.0,8.0,1.0,0.0,1.0,3.0
0.5,5.02,5.08,3.17,0,0,0,0,0,0,0,1,7.0,2.0,1.0,1.0,1.0,0.0
0.46,4.76,4.09,2.82,1,0,0,0,0,0,0,0,3.0,1.0,0.0,0.0,1.0,3.0
0.3,4.12,4.53,2.52,0,0,1,0,0,0,0,0,7.0,2.0,2.0,0.0,1.0,0.0
0.5,6.07,4.5,2.8,0,0,0,0,1,0,0,0,5.0,4.0,0.0,0.0,1.0,0.0
0.52,4.63,4.41,2.99,1,0,0,0,0,0,0,0,1.0,8.0,0.0,0.0,1.0,0.0
0.9,5.75,5.03,3.61,1,0,0,0,0,0,0,0,7.0,6.0,2.0,1.0,1.0,0.0
2.0,10.82,6.81,4.25,0,0,0,0,0,1,0,0,7.0,2.0,1.0,1.0,1.0,1.0
0.5,4.75,4.31,2.93,1,0,0,0,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0
0.7,7.52,4.96,2.94,0,0,0,0,1,0,0,0,7.0,6.0,0.0,0.0,1.0,0.0
0.4,5.38,3.44,2.16,0,1,0,0,0,0,0,0,4.0,4.0,1.0,0.0,1.0,0.0
0.5,6.18,4.5,2.78,0,0,0,0,1,0,0,0,3.0,3.0,0.0,0.0,1.0,0.0
0.5,4.92,4.97,3.18,0,0,0,0,0,0,0,1,6.0,3.0,1.0,0.0,1.0,0.0
0.5,5.03,5.09,3.1,0,0,0,0,0,0,0,1,3.0,3.0,0.0,0.0,1.0,4.0
0.5,5.13,5.15,3.13,0,0,0,0,0,0,0,1,6.0,2.0,0.0,0.0,0.0,3.0
0.81,5.31,5.11,3.46,1,0,0,0,0,0,0,0,5.0,6.0,0.0,0.0,1.0,0.0
0.5,5.07,5.12,2.99,0,0,0,0,0,0,0,1,6.0,2.0,2.0,1.0,1.0,0.0
0.7,6.43,4.84,3.13,0,0,0,0,1,0,0,0,6.0,7.0,2.0,0.0,2.0,0.0
0.9,7.28,5.43,3.42,0,0,0,0,1,0,0,0,7.0,9.0,0.0,0.0,1.0,3.0
0.35,4.74,3.5,2.22,0,1,0,0,0,0,0,0,2.0,2.0,0.0,0.0,1.0,0.0
0.52,5.72,3.75,2.38,0,1,0,0,0,0,0,0,6.0,6.0,0.0,0.0,1.0,0.0
0.5,5.03,5.09,3.07,0,0,0,0,0,0,0,1,5.0,3.0,2.0,1.0,3.0,0.0
0.91,6.09,5.11,3.47,1,0,0,0,0,0,0,0,6.0,10.0,0.0,0.0,0.0,3.0
0.5,4.44,4.42,2.98,1,0,0,0,0,0,0,0,5.0,6.0,0.0,0.0,1.0,3.0
0.33,4.58,3.33,2.26,0,1,0,0,0,0,0,0,4.0,3.0,0.0,0.0,1.0,0.0
0.8,5.65,4.92,3.34,1,0,0,0,0,0,0,0,5.0,4.0,0.0,0.0,1.0,3.0
1.0,9.19,5.21,3.26,0,0,0,1,0,0,0,0,7.0,10.0,1.0,0.0,1.0,3.0
0.5,6.84,4.43,2.6,0,0,0,0,1,0,0,0,5.0,5.0,0.0,0.0,1.0,3.0
0.96,5.86,5.45,3.6,1,0,0,0,0,0,0,0,6.0,3.0,0.0,0.0,1.0,0.0
0.5,6.84,4.35,2.59,0,0,0,0,1,0,0,0,3.0,3.0,0.0,0.0,1.0,0.0
0.8,5.47,5.17,3.42,1,0,0,0,0,0,0,0,5.0,3.0,0.0,0.0,0.0,0.0
0.5,5.16,5.19,3.1,0,0,0,0,0,0,0,1,7.0,3.0,0.0,0.0,0.0,0.0
0.8,5.22,5.14,3.5,1,0,0,0,0,0,0,0,6.0,2.0,0.0,0.0,1.0,0.0
0.71,6.85,5.09,3.05,0,0,0,0,1,0,0,0,2.0,2.0,1.0,1.0,1.0,0.0
1.2,8.06,6.02,3.79,0,0,0,0,1,0,0,0,7.0,16.0,0.0,0.0,0.0,0.0
0.52,5.13,5.15,3.2,0,0,0,0,0,0,0,1,7.0,1.0,0.0,0.0,0.0,0.0
0.81,5.4,5.01,3.51,1,0,0,0,0,0,0,0,5.0,7.0,1.0,0.0,0.0,0.0
0.5,4.85,4.93,3.21,0,0,0,0,0,0,0,1,5.0,2.0,2.0,2.0,2.0,0.0
0.93,5.49,5.47,3.7,1,0,0,0,0,0,0,0,7.0,6.0,0.0,0.0,1.0,0.0
0.51,5.1,5.13,3.17,0,0,0,0,0,0,0,1,5.0,7.0,0.0,0.0,0.0,0.0
0.5,5.15,5.17,3.1,0,0,0,0,0,0,0,1,4.0,7.0,0.0,0.0,0.0,3.0
0.5,5.06,5.12,3.1,0,0,0,0,0,0,0,1,6.0,2.0,1.0,1.0,1.0,4.0
0.3,3.99,4.71,2.82,0,0,1,0,0,0,0,0,5.0,1.0,0.0,0.0,2.0,0.0
0.5,5.14,5.17,3.12,0,0,0,0,0,0,0,1,5.0,4.0,0.0,0.0,0.0,3.0
0.75,5.22,4.94,3.35,1,0,0,0,0,0,0,0,8.0,0.0,0.0,2.0,2.0,3.0
0.5,4.88,4.96,3.18,0,0,0,0,0,0,0,1,5.0,4.0,2.0,1.0,2.0,3.0
0.5,4.89,4.96,3.2,0,0,0,0,0,0,0,1,7.0,2.0,1.0,0.0,1.0,0.0
1.0,8.67,5.43,3.14,0,0,0,0,0,1,0,0,7.0,0.0,0.0,0.0,1.0,5.0
0.23,3.95,3.97,2.42,0,0,0,0,0,0,0,1,5.0,2.0,0.0,0.0,0.0,0.0
0.7,6.65,4.93,3.19,0,0,0,0,1,0,0,0,3.0,2.0,1.0,2.0,2.0,0.0
0.81,5.34,5.19,3.44,1,0,0,0,0,0,0,0,5.0,4.0,0.0,0.0,1.0,3.0
1.2,6.07,5.84,3.93,1,0,0,0,0,0,0,0,7.0,11.0,0.0,0.0,0.0,4.0
0.5,5.1,5.13,3.12,0,0,0,0,0,0,0,1,3.0,7.0,0.0,0.0,0.0,0.0
0.4,4.76,4.81,2.85,0,0,0,0,0,0,0,1,6.0,1.0,1.0,0.0,1.0,0.0
0.7,5.49,5.54,3.58,0,0,0,0,0,0,0,1,4.0,8.0,2.0,1.0,1.0,0.0
1.0,8.27,5.55,3.42,0,0,0,0,1,0,0,0,6.0,11.0,0.0,0.0,1.0,5.0
0.52,4.43,4.35,3.16,0,0,0,0,0,0,1,0,5.0,3.0,0.0,0.0,1.0,0.0
0.3,4.83,3.11,2.07,0,1,0,0,0,0,0,0,2.0,2.0,0.0,1.0,1.0,3.0
1.0,6.07,5.29,3.59,1,0,0,0,0,0,0,0,4.0,7.0,0.0,0.0,1.0,0.0
0.7,5.62,4.7,3.17,1,0,0,0,0,0,0,0,5.0,3.0,0.0,0.0,0.0,0.0
0.4,3.96,3.85,2.88,0,0,0,0,0,0,1,0,5.0,1.0,1.0,0.0,2.0,0.0
0.3,4.35,3.27,2.22,0,1,0,0,0,0,0,0,4.0,1.0,1.0,0.0,1.0,0.0
0.37,4.56,4.58,2.88,0,0,0,0,0,0,0,1,2.0,4.0,0.0,0.0,0.0,0.0
0.9,5.72,5.3,3.56,1,0,0,0,0,0,0,0,7.0,5.0,0.0,0.0,1.0,5.0
0.4,5.18,3.57,2.33,0,1,0,0,0,0,0,0,5.0,2.0,0.0,1.0,1.0,3.0
1.0,8.46,5.56,3.49,0,0,0,0,0,1,0,0,7.0,4.0,0.0,0.0,1.0,0.0
0.5,4.47,4.44,3.19,0,0,0,0,0,0,1,0,4.0,1.0,0.0,1.0,1.0,0.0
0.51,5.33,3.89,2.53,0,1,0,0,0,0,0,0,4.0,8.0,0.0,0.0,1.0,3.0
0.5,4.95,5.0,3.19,0,0,0,0,0,0,0,1,5.0,4.0,1.0,0.0,1.0,3.0
0.51,5.19,5.2,3.14,0,0,0,0,0,0,0,1,6.0,4.0,0.0,0.0,0.0,5.0
0.4,4.78,3.6,2.43,0,1,0,0,0,0,0,0,4.0,2.0,1.0,1.0,1.0,0.0
1.0,8.37,5.38,3.37,0,0,0,0,0,1,0,0,6.0,3.0,1.0,0.0,1.0,0.0
0.57,6.47,4.38,2.66,0,0,0,0,1,0,0,0,7.0,0.0,0.0,1.0,2.0,3.0
0.41,4.96,3.81,2.42,0,1,0,0,0,0,0,0,3.0,5.0,1.0,0.0,1.0,0.0
1.2,6.54,5.68,3.86,1,0,0,0,0,0,0,0,3.0,8.0,0.0,0.0,0.0,0.0
0.5,4.9,4.98,3.19,0,0,0,0,0,0,0,1,6.0,3.0,1.0,0.0,2.0,0.0
0.3,3.79,3.73,2.5,0,0,0,0,0,0,1,0,3.0,1.0,0.0,0.0,1.0,0.0
0.41,5.19,3.44,2.34,0,1,0,0,0,0,0,0,4.0,4.0,0.0,0.0,1.0,0.0
0.8,5.69,4.95,3.36,1,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0,1.0,0.0
0.5,5.08,5.14,3.11,0,0,0,0,0,0,0,1,7.0,1.0,0.0,0.0,1.0,0.0
0.5,5.05,5.08,3.16,0,0,0,0,0,0,0,1,2.0,7.0,0.0,0.0,0.0,0.0
0.3,4.52,3.31,2.18,0,1,0,0,0,0,0,0,4.0,3.0,0.0,1.0,1.0,0.0
0.56,5.23,5.27,3.28,0,0,0,0,0,0,0,1,5.0,7.0,0.0,0.0,0.0,3.0
0.5,5.03,5.08,3.1,0,0,0,0,0,0,0,1,6.0,2.0,1.0,1.0,2.0,0.0
0.5,5.0,5.03,3.14,0,0,0,0,0,0,0,1,4.0,8.0,1.0,1.0,1.0,3.0
0.5,5.93,4.45,2.81,0,0,0,0,1,0,0,0,6.0,5.0,1.0,1.0,1.0,0.0
0.23,3.96,3.97,2.44,0,0,0,0,0,0,0,1,3.0,3.0,0.0,0.0,0.0,0.0
0.75,5.67,4.91,3.29,1,0,0,0,0,0,0,0,6.0,4.0,0.0,0.0,0.0,0.0
0.5,4.97,4.21,2.84,1,0,0,0,0,0,0,0,5.0,3.0,0.0,0.0,1.0,0.0
0.8,6.98,5.17,3.24,0,0,0,0,1,0,0,0,7.0,9.0,0.0,0.0,1.0,3.0
0.5,5.13,5.16,3.14,0,0,0,0,0,0,0,1,4.0,9.0,0.0,0.0,0.0,3.0
0.3,3.99,4.74,2.69,0,0,1,0,0,0,0,0,5.0,2.0,0.0,1.0,1.0,0.0
0.5,5.06,5.12,3.04,0,0,0,0,0,0,0,1,6.0,3.0,1.0,0.0,2.0,0.0
0.8,5.92,4.95,3.28,1,0,0,0,0,0,0,0,6.0,3.0,0.0,0.0,1.0,0.0
0.5,5.06,5.09,3.16,0,0,0,0,0,0,0,1,7.0,2.0,0.0,0.0,0.0,0.0
0.56,5.26,5.29,3.29,0,0,0,0,0,0,0,1,4.0,7.0,0.0,1.0,0.0,0.0
