id,shape,weight,clarity,color,cut,polish,symmetry,fluorescence,price,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence,is_outlier
200761-81,CUSHION,2.02,SI2,FANCY,VG,EX,VG,F,7247.4,6.9,6.79,4.72,1,0,0,0,0,0,0,0,7.0,0.0,1.0,0.0,1.0,3.0,False
1666616,ROUND,0.52,VS1,J,EX,EX,EX,N,2073.83,5.2,5.24,3.17,0,0,0,0,0,0,0,1,4.0,7.0,0.0,0.0,0.0,0.0,False
1799804,EMERALD,0.33,VVS1,H,EX,EX,VG,N,1066.41,4.69,3.35,2.16,0,1,0,0,0,0,0,0,2.0,5.0,0.0,0.0,1.0,0.0,False
1639546,CUSHION,0.8,SI1,I,VG,EX,GD,N,2131.51,5.09,5.08,3.56,1,0,0,0,0,0,0,0,6.0,6.0,1.0,0.0,2.0,0.0,False
1620618,ROUND,0.5,VS2,F,VG,VG,GD,F,1997.22,4.88,4.96,3.16,0,0,0,0,0,0,0,1,5.0,3.0,1.0,1.0,2.0,3.0,False
1767162,PRINCESS,0.5,VVS1,I,EX,EX,VG,N,1704.47,4.5,4.42,2.96,0,0,0,0,0,0,1,0,2.0,6.0,0.0,0.0,1.0,0.0,False
1785747,PRINCESS,0.31,VS1,D,EX,EX,VG,N,1043.17,3.74,3.71,2.67,0,0,0,0,0,0,1,0,4.0,1.0,0.0,0.0,1.0,0.0,False
201244-180,CUSHION,1.02,VS2,H,EX,EX,VG,N,4822.85,5.92,5.53,3.74,1,0,0,0,0,0,0,0,5.0,5.0,0.0,0.0,1.0,0.0,False
1767180,PRINCESS,0.5,SI1,I,EX,EX,VG,N,1400.2,4.54,4.45,3.21,0,0,0,0,0,0,1,0,6.0,6.0,0.0,0.0,1.0,0.0,False
1696747,CUSHION,0.59,SI2,F,EX,EX,VG,N,1094.8,4.97,4.53,3.06,1,0,0,0,0,0,0,0,7.0,3.0,0.0,0.0,1.0,0.0,False
1655890,ROUND,0.5,VS2,H,GD,VG,VG,M,1978.2,4.89,4.95,3.22,0,0,0,0,0,0,0,1,5.0,5.0,2.0,1.0,1.0,4.0,False
201162-297,CUSHION,0.96,SI2,S-T,EX,EX,VG,N,1418.06,5.63,5.5,3.69,1,0,0,0,0,0,0,0,7.0,15.0,0.0,0.0,1.0,0.0,False
1668835,ROUND,0.5,SI1,G,VG,EX,GD,N,2080.0,5.02,5.08,3.1,0,0,0,0,0,0,0,1,6.0,4.0,1.0,0.0,2.0,0.0,False
1742082,PEAR,0.59,VS1,E,EX,EX,VG,N,2296.47,7.79,4.54,2.79,0,0,0,0,0,1,0,0,4.0,2.0,0.0,0.0,1.0,0.0,False
1575610,CUSHION,0.8,SI1,F,EX,VG,VG,N,2568.84,5.48,5.07,3.45,1,0,0,0,0,0,0,0,6.0,3.0,0.0,1.0,1.0,0.0,False
1643526,CUSHION,0.52,IF,K,EX,EX,VG,N,1021.06,4.63,4.41,2.99,1,0,0,0,0,0,0,0,1.0,8.0,0.0,0.0,1.0,0.0,False
1668407,PEAR,0.52,VS2,D,EX,EX,VG,N,2000.25,7.46,4.39,2.71,0,0,0,0,0,1,0,0,5.0,1.0,0.0,0.0,1.0,0.0,False
1720941,CUSHION,0.91,SI1,F,EX,EX,EX,N,3421.52,5.53,5.41,3.62,1,0,0,0,0,0,0,0,6.0,3.0,0.0,0.0,0.0,0.0,False
1790058,CUSHION,0.75,VS1,FANCY,EX,EX,GD,N,3383.8,5.13,4.76,3.33,1,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,2.0,0.0,False
1591185,CUSHION,0.91,SI2,N,EX,EX,VG,F,1143.58,5.45,5.42,3.64,1,0,0,0,0,0,0,0,7.0,11.0,0.0,0.0,1.0,3.0,False
1771342,HEART,0.3,VS2,D,EX,VG,GD,N,1098.53,3.95,4.69,2.76,0,0,1,0,0,0,0,0,5.0,1.0,0.0,1.0,2.0,0.0,False
1780932,ROUND,0.5,SI2,E,VG,EX,VG,F,2023.78,5.08,5.12,3.09,0,0,0,0,0,0,0,1,7.0,2.0,1.0,0.0,1.0,3.0,False
1746040,CUSHION,0.5,VS1,H,EX,EX,VG,N,1502.48,4.47,4.43,3.0,1,0,0,0,0,0,0,0,4.0,5.0,0.0,0.0,1.0,0.0,False
1778093,ROUND,0.5,SI2,D,VG,EX,VG,N,2071.25,5.07,5.12,3.14,0,0,0,0,0,0,0,1,7.0,1.0,1.0,0.0,1.0,0.0,False
1646004,CUSHION,0.75,SI2,G,EX,EX,VG,N,2300.3,5.37,4.91,3.33,1,0,0,0,0,0,0,0,7.0,4.0,0.0,0.0,1.0,0.0,False
1667285,MARQUISE,0.59,SI2,L,VG,VG,VG,N,1039.49,8.5,4.35,2.62,0,0,0,1,0,0,0,0,7.0,9.0,1.0,1.0,1.0,0.0,False
1800961,PRINCESS,0.5,VS1,F,EX,EX,GD,F,1799.95,4.28,4.22,3.07,0,0,0,0,0,0,1,0,4.0,3.0,0.0,0.0,2.0,3.0,False
1785505,PEAR,0.53,VS2,D,EX,EX,VG,F,2035.49,6.88,4.49,2.75,0,0,0,0,0,1,0,0,5.0,1.0,0.0,0.0,1.0,3.0,False
200649-303,CUSHION,1.6,SI1,K,EX,EX,EX,F,5306.89,6.69,6.46,4.4,1,0,0,0,0,0,0,0,6.0,8.0,0.0,0.0,0.0,3.0,False
200442-37,CUSHION,2.0,SI2,G,EX,EX,EX,N,12820.09,7.45,6.87,4.64,1,0,0,0,0,0,0,0,7.0,4.0,0.0,0.0,0.0,0.0,False
1663191,CUSHION,0.8,SI1,I,VG,EX,VG,N,2300.26,5.17,5.05,3.5,1,0,0,0,0,0,0,0,6.0,6.0,1.0,0.0,1.0,0.0,False
1785736,PRINCESS,0.4,SI1,D,EX,EX,VG,N,1247.9,4.07,4.0,2.92,0,0,0,0,0,0,1,0,6.0,1.0,0.0,0.0,1.0,0.0,False
1642485,OVAL,0.5,SI1,J,EX,VG,GD,N,1146.4,6.61,4.46,2.62,0,0,0,0,1,0,0,0,6.0,7.0,0.0,1.0,2.0,0.0,False
1769492,EMERALD,0.4,VVS2,I,EX,EX,VG,F,1166.15,5.19,3.42,2.28,0,1,0,0,0,0,0,0,3.0,6.0,0.0,0.0,1.0,3.0,False
1796239,PRINCESS,0.3,SI1,F,EX,VG,FR,N,815.59,3.78,3.71,2.69,0,0,0,0,0,0,1,0,6.0,3.0,0.0,1.0,3.0,0.0,False
1611158,ROUND,0.25,VVS2,F,EX,EX,EX,N,1082.01,4.06,4.09,2.45,0,0,0,0,0,0,0,1,3.0,3.0,0.0,0.0,0.0,0.0,False
210028-379,CUSHION,0.96,SI2,H,EX,EX,EX,F,3561.17,5.83,5.34,3.62,1,0,0,0,0,0,0,0,7.0,5.0,0.0,0.0,0.0,3.0,False
1637303,ROUND,0.5,VS1,D,VG,EX,VG,VS,2075.66,5.12,5.17,3.09,0,0,0,0,0,0,0,1,4.0,1.0,1.0,0.0,1.0,6.0,False
1794887,PRINCESS,0.51,SI1,E,EX,EX,VG,N,1796.44,4.31,4.28,3.11,0,0,0,0,0,0,1,0,6.0,2.0,0.0,0.0,1.0,0.0,False
1636948,ROUND,0.8,VS2,N,EX,EX,EX,F,2069.27,6.02,6.05,3.61,0,0,0,0,0,0,0,1,5.0,11.0,0.0,0.0,0.0,3.0,False
