id,shape,weight,clarity,color,cut,polish,symmetry,fluorescence,price,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence
1764139,PRINCESS,0.3,VS2,D,EX,VG,VG,N,940.35,3.78,3.71,2.56,0,0,0,0,0,0,1,0,5.0,1.0,0.0,1.0,1.0,0.0
1778823,PRINCESS,0.3,VS1,F,EX,EX,VG,N,940.86,3.78,3.75,2.66,0,0,0,0,0,0,1,0,4.0,3.0,0.0,0.0,1.0,0.0
1784080,PRINCESS,0.31,VS1,E,EX,VG,GD,N,941.03,3.8,3.76,2.74,0,0,0,0,0,0,1,0,4.0,2.0,0.0,1.0,2.0,0.0
1781746,PRINCESS,0.31,VS2,E,EX,VG,VG,N,942.67,3.82,3.76,2.71,0,0,0,0,0,0,1,0,5.0,2.0,0.0,1.0,1.0,0.0
1798881,PRINCESS,0.3,VVS1,G,VG,VG,VG,N,942.85,3.54,3.53,2.64,0,0,0,0,0,0,1,0,2.0,4.0,1.0,1.0,1.0,0.0
1742152,PRINCESS,0.32,VS1,F,EX,EX,VG,N,944.85,3.76,3.74,2.66,0,0,0,0,0,0,1,0,4.0,3.0,0.0,0.0,1.0,0.0
1785761,PRINCESS,0.32,SI1,E,EX,EX,VG,N,945.34,3.85,3.81,2.65,0,0,0,0,0,0,1,0,6.0,2.0,0.0,0.0,1.0,0.0
1793437,PRINCESS,0.4,SI1,G,EX,VG,GD,N,1155.32,4.15,4.11,2.9,0,0,0,0,0,0,1,0,6.0,4.0,0.0,1.0,2.0,0.0
1785740,PRINCESS,0.4,SI1,G,EX,VG,VG,N,1155.32,4.02,3.95,2.88,0,0,0,0,0,0,1,0,6.0,4.0,0.0,1.0,1.0,0.0
1756707,PRINCESS,0.41,VS1,H,EX,EX,VG,N,1155.69,4.0,3.96,2.88,0,0,0,0,0,0,1,0,4.0,5.0,0.0,0.0,1.0,0.0
1643754,PRINCESS,0.52,VS1,K,EX,EX,VG,N,1156.79,4.26,4.25,3.1,0,0,0,0,0,0,1,0,4.0,8.0,0.0,0.0,1.0,0.0
1777731,PRINCESS,0.4,VS2,H,VG,VG,VG,N,1158.0,3.97,3.94,2.92,0,0,0,0,0,0,1,0,5.0,5.0,1.0,1.0,1.0,0.0
1800978,PRINCESS,0.5,SI2,H,GD,VG,VG,N,1158.58,4.13,4.12,3.11,0,0,0,0,0,0,1,0,7.0,5.0,2.0,1.0,1.0,0.0
1785703,PRINCESS,0.51,VS2,K,EX,EX,VG,M,1158.58,4.47,4.46,3.23,0,0,0,0,0,0,1,0,5.0,8.0,0.0,0.0,1.0,4.0
1775619,PRINCESS,0.4,SI1,E,EX,EX,GD,N,1158.73,4.15,4.1,2.92,0,0,0,0,0,0,1,0,6.0,2.0,0.0,0.0,2.0,0.0
1790034,PRINCESS,0.4,VS2,I,EX,EX,VG,N,1159.37,4.07,3.99,2.89,0,0,0,0,0,0,1,0,5.0,6.0,0.0,0.0,1.0,0.0
1669842,PRINCESS,0.5,SI2,F,EX,VG,FR,N,1160.16,4.49,4.43,3.05,0,0,0,0,0,0,1,0,7.0,3.0,0.0,1.0,3.0,0.0
